ecoregion,year,ba_mcd_native_Mha,ba_firecci_native_Mha
MARINE WEST COAST FOREST,2019,0.0176,0.0112
MIXED WOOD SHIELD,2019,0.0,0.0
Montane Boreal,2019,0.4112,0.5568
Montane Sub-Arctic,2019,0.704,1.464
Montane Sub-Boreal,2019,0.1424,0.2576
NORTHERN ARCTIC,2019,0.0,0.0
Northern Taiga,2019,0.568,0.72
SOFTWOOD SHIELD,2019,0.216,0.208
SOUTHERN ARCTIC,2019,0.0,0.0
Southern Taiga,2019,0.1648,0.1984
TAIGA CORDILLERA,2019,0.0,0.0
TAIGA PLAIN,2019,0.0832,0.1984
TAIGA SHIELD,2019,0.0064,0.0048
TEMPERATE PRAIRIES,2019,0.0,0.0
WATER,2019,0.0,0.0
WESTERN CORDILLERA,2019,0.0,0.0
Wetlands,2019,0.16,0.2912
ALASKA BOREAL INTERIOR,2020,0.0,0.0
ALASKA TUNDRA,2020,0.0,0.0256
ARCTIC CORDILLERA,2020,0.0,0.0
Arctic Deserts and Tundra,2020,0.0,0.0768
BOREAL CORDILLERA,2020,0.0,0.0
BOREAL PLAIN,2020,0.0192,0.0384
BROOKS RANGE TUNDRA,2020,0.0,0.0
Central Taiga,2020,1.1408,1.816
Forest Tundra,2020,0.0,0.04
HUDSON PLAIN,2020,0.0,0.0
MARINE WEST COAST FOREST,2020,0.0,0.0
MIXED WOOD SHIELD,2020,0.0,0.0
Montane Boreal,2020,0.28,0.5504
Montane Sub-Arctic,2020,1.0944,2.3776
Montane Sub-Boreal,2020,0.2928,0.4064
NORTHERN ARCTIC,2020,0.0,0.0
Northern Taiga,2020,0.8,1.1152
SOFTWOOD SHIELD,2020,0.0496,0.0368
SOUTHERN ARCTIC,2020,0.0,0.0
Southern Taiga,2020,0.08,0.0944
TAIGA CORDILLERA,2020,0.0,0.0
TAIGA PLAIN,2020,0.0016,0.0
TAIGA SHIELD,2020,0.0,0.0016
TEMPERATE PRAIRIES,2020,0.0,0.0
WATER,2020,0.0,0.0
WESTERN CORDILLERA,2020,0.0,0.0
Wetlands,2020,0.1696,0.288
ALASKA BOREAL INTERIOR,2021,0.0064,0.0016
ALASKA TUNDRA,2021,0.0,0.0
ARCTIC CORDILLERA,2021,0.0,0.0
Arctic Deserts and Tundra,2021,0.0096,0.016
BOREAL CORDILLERA,2021,0.0288,0.0224
BOREAL PLAIN,2021,0.2288,0.2256
BROOKS RANGE TUNDRA,2021,0.0,0.0
Central Taiga,2021,4.7808,4.9696
Forest Tundra,2021,0.0,0.0016
HUDSON PLAIN,2021,0.0112,0.0
MARINE WEST COAST FOREST,2021,0.0,0.0
MIXED WOOD SHIELD,2021,0.0,0.0
Montane Boreal,2021,0.104,0.0832
Montane Sub-Arctic,2021,0.6896,0.7824
Montane Sub-Boreal,2021,0.016,0.048
NORTHERN ARCTIC,2021,0.0,0.0
Northern Taiga,2021,0.9744,1.0384
SOFTWOOD SHIELD,2021,1.3488,0.7376
SOUTHERN ARCTIC,2021,0.0,0.0
Southern Taiga,2021,0.0096,0.1344
TAIGA CORDILLERA,2021,0.0112,0.0032
TAIGA PLAIN,2021,0.0288,0.0336
TAIGA SHIELD,2021,0.1424,0.1056
TEMPERATE PRAIRIES,2021,0.0,0.0
WATER,2021,0.0,0.0
WESTERN CORDILLERA,2021,0.0,0.0
Wetlands,2021,0.1984,0.4032
ALASKA BOREAL INTERIOR,2022,0.0592,0.1312
ALASKA TUNDRA,2022,0.0976,0.0576
ARCTIC CORDILLERA,2022,0.0016,0.0016
Arctic Deserts and Tundra,2022,0.0,0.008
BOREAL CORDILLERA,2022,0.0288,0.0272
BOREAL PLAIN,2022,0.04,0.032
BROOKS RANGE TUNDRA,2022,0.0,0.0
Central Taiga,2022,0.2896,0.336
Forest Tundra,2022,0.0,0.0
HUDSON PLAIN,2022,0.0,0.0
MARINE WEST COAST FOREST,2022,0.0,0.0
MIXED WOOD SHIELD,2022,0.0,0.0
Montane Boreal,2022,0.632,0.5472
Montane Sub-Arctic,2022,0.0944,0.1312
Montane Sub-Boreal,2022,0.0576,0.0688
NORTHERN ARCTIC,2022,0.0,0.0
Northern Taiga,2022,0.0704,0.0976
SOFTWOOD SHIELD,2022,0.1472,0.056
SOUTHERN ARCTIC,2022,0.0,0.0
Southern Taiga,2022,0.0784,0.1312
